ItemSetID,INVOICE_NO,ITEM_ID
1,1616070000/79213916,14690914
2,1616070001/79213917,14890019
3,1616070002,15245997|15436261|15436269|15471068|15471069|15547003
4,1616070003,15547003|15586998|15589015
5,1616070004,15245997|15436253|15471068|15471069
6,1616070005,15245997|15471069
7,1616070006,15245997|15436264|15471068|15471069
8,1616070007/88761213,14921003
9,1616070008/79213640,15551005
10,1616070009/79213641,14809864|14810112
11,1616070010/79213642,15455981
12,1616070011/79213643,15455981
13,1616070012/79213644,15246052
14,1616070013/79213645,15238055|15246049|15246050|15246052|15246053
15,1616070014/79213646,14789044|15246052|15246053|15330988
16,1616070015/79213647,14787526|14789044
17,1616070016/79213648,14809864|14810112
18,1616070017/79213649,15455982
19,1616070018/79213650,14921004|15312982|15452141
20,1616070019/79213651,14787526|14789044|14809864|14810112
21,1616070020/79213652,14787526|14789044|14809864|14810112|15246053
22,1616070021/79213653,14787526|14789044|14809864|14810112
23,1616070022,15102173|15331043
24,1616070023,15102173|15331043
25,1616070024,15102173|15331043
26,1616070025,15102173
27,1616070026,14671860|14675955|14790551|15192100|15194056
28,1616070027,14671860|14675955|14790551|14980086|15192100|15194056
29,1616070028,14481833|14654748|14671860|14980086|15157064|15192100|15194056
30,1616070029,13217588|14654748|14671860|14790551|14980086|15192100|15192101|15194056
31,1616070030,14481833|14654748|14671860|14731963|14980086|15157064|15192100|15194056
32,1616070031/79213654,14803086|14980872
33,1616070032,14654748|14671860|14675955|14790551|14980086|15192100|15192101|15194056
34,1616070033,14481833|14671860|14731963|14980086|15157064|15192100|15194056
35,1616070034/79213655,15199126|15373194|15404030
36,1616070035/79213656,15116000|15185962
37,1616070036/79213657,13211594|14310766|14988989|15037958|15046030|15047904|15182032|15185961|15192099|15242560|15312000
38,1616070037/79213658,15206971
39,1616070038/79213659,14810112
40,1616070039/79213660,14809864|14810112|15238057
41,1616070040/79213661,14921004|15452141
42,1616070041/79213662,15455982
43,1616070042/79213663,14988989|15104957|15181053
44,1616070043,15102173|15331043|15336249
45,1616070044,15331043|15336249
46,1616070045/79213664,14921004|15046941|15201033|15274998|15352015|15452141|15455982
47,1616070046/79213665,15141113
48,1616070047/79213666,15455982
49,1616070048/79213667,14967876
50,1616070049/79213668,15455982
51,1616070050/79213669,14721277
52,1616070051/普00871177,14830136
53,1616070052/普00871178,14819946
54,1616070053/79213670-2,14291730|14387743|15004903|15038044|15128983|15206970
55,1616070054/79213673,14972011|15056894
56,1616070055/79213674,14804260|14972011
57,1616070056/79213675,14804260|14992909
58,1616070057/79213676,14310766|14813741|15037958|15078912|15185963|15192099|15242188|15312000|15330987|15334065
59,1616070058/79213677,15046030
60,1616070059/79213678,15330987
61,1616070060/79213679,14197589|14310766|14526773|15047904|15181053|15185960|15185961|15330987
62,1616070061/79213680,14980872
63,1616070062/79213681,15201035
64,1616070063/79213682,14251612
65,1616070064/79213683,14935881|15242090|15331110|15335985
66,1616070065/79213684,14935882|14935885|15077943|15130026|15162957|15230101|15242090|15335984
67,1616070066/79213685,15087039|15225124|15569988|15587037
68,1616070067/普00871179,14979894
69,1616070068/普00871180,14979894
70,1616070069,6517622
71,1616070070,6517622
72,1616070071/普00871181,14819947|15116995
73,1616070072,14935101
74,1616070073,15193974
75,1616070074,14935101
76,1616070075,14935101
77,1616070076/79213686,15509968|15604975|15604976|15604977|15604978|15604979
78,1616070077/79213687,14935885|15331110|15569988
79,1616070078/79213688,14935882
80,1616070079/79213689,13869592|14270748|15071315|3397439|9092590
81,1616070080/79213690,14310766|15037958|15046030|15078912|15181053|15185963|15206971|15240983|15242187|15242560|15363007
82,1616070081/79213691,15073880
83,1616070082/79213692,15037958|15046030|15240983
84,1616070083/79213693,15071961|15145331|15181053|6642591
85,1616070084/79213694,15455982
86,1616070085/79213695,14921004|15046941
87,1616070086/79213696,15452140
88,1616070087/79213697,15201033|15201035
89,1616070088/79213698,14818083|14992909|15182028|15562962
90,1616070089/79213699,15352015
91,1616070090/88761214,15452141
92,1616070091/79213700,14534724
93,1616070092/79213701,14843870|15444273
94,1616070093/79213702,15352015
95,1616070094/79213703,15274998
96,1616070095/79213704,15201035
97,1616070096/79213705,15352015|15452140
98,1616070097/79213706,14921004|15046941|15201034|15312982|15452141|15455982
99,1616070098/79213707,15246081|15598973
100,1616070099/79213708,15243031
101,1616070100/79213709,13211594|14526773|14972157|14995881|15078912|15242496|15330987|15334065
102,1616070101/79213710,14731983
103,1616070102/79213711,15046941
104,1616070103/88761630,14813741|15037958|15083976|15181053|15182032|15185960|15185962
105,1616070104,13211594|15166111|6642591
106,1616070105/79213712,14804238|14804260|15056894
107,1616070106/79213713,15078912|15181053|15182032|15185962|15253082|15271976|15516005|15540004
108,1616070107/79213714,14846195
109,1616070108/79213715,15090312|15297003
110,1616070109/79213716,14866031
111,1616070110/79213717,15047904|15104957|15116000|15151088|15181053|15182032|15185960|15185962|15240983
112,1616070111/79213718,15046941|15201033|15312982|15455982
113,1616070112/88761433/4,15531959|15531961|15531963|15531969
114,1616070113/88761435,15531960|15531962|15531964|15531965|15531968|15531969|15581974
115,1616070114/79213719,15240983
116,1616070115/79213720,14797546
117,1616070116/79213721,15165018|15243031|15312000
118,1616070117/79213722,14526773|14972157|14995881|15078912|15089999
119,1616070118/79213723,15089999
120,1616070119,15245999|15436266|15436267|15471066|15471067|15471068
121,1616070120,15471068
122,1616070121,15471066|15471068
123,1616070122,15471066|15471068
124,1616070123/79213724,14962879|14982990|14989886|15162957|15230086|15331970
125,1616070124,15539983
126,1616070125,15539983
127,1616070126,15539983|15539984
128,1616070127,15539983|15539984|15539985
129,1616070128,15539983|15539985
130,1616070129,15539983
131,1616070130,15331043
132,1616070131,15331043
133,1616070132,15331043
134,1616070133,15331043
135,1616070134,14731963|15192100
